Number,Colour F,F size,M size,BW,WT,sum of BW,sum of WT,propWT,Match
1,B,L,S,4.25,0,17,0,0,0
1,G,S,S,1.25,0.75,5,3,0.375,1
2,B,L,S,4.75,0,19,0,0,0
2,G,S,S,2,0.25,8,1,0.111111111,1
3,B,L,S,3.75,0,15,0,0,0
3,G,S,S,2,0.25,8,1,0.111111111,1
4,B,L,S,4.25,0.25,17,1,0.055555556,0
4,G,S,S,1.75,0.5,7,2,0.222222222,1
5,B,L,S,3,0,12,0,0,0
5,G,S,S,1.75,0,7,0,0,1
6,B,L,S,3,0.75,12,3,0.2,0
6,G,S,S,2,0.75,8,3,0.272727273,1
7,B,L,S,2.25,0,9,0,0,0
7,G,S,S,2,0,8,0,0,1
8,B,S,S,2.5,0,10,0,0,1
8,G,L,S,3.75,0.25,15,1,0.0625,0
9,B,S,S,3.75,0,15,0,0,1
9,G,L,S,3.75,0,15,0,0,0
10,B,S,S,3.5,0,14,0,0,1
10,G,L,S,3.5,0.75,14,3,0.176470588,0
11,B,S,S,2,0.25,8,1,0.111111111,1
11,G,L,S,3.5,0,14,0,0,0
12,B,S,S,1.5,0,6,0,0,1
12,G,L,S,2.5,0,10,0,0,0
13,B,S,S,3.25,0,13,0,0,1
13,G,L,S,1.5,0,6,0,0,0
14,B,S,S,2.75,0.5,11,2,0.153846154,1
14,G,L,S,2.75,0,11,0,0,0
15,B,S,S,2,0,8,0,0,1
15,G,L,L,3.75,0,15,0,0,1
16,B,S,L,2.5,0,10,0,0,0
16,G,L,L,2.75,0.5,11,2,0.153846154,1
17,B,S,L,2.75,0,11,0,0,0
17,G,L,L,3.25,0,13,0,0,1
18,B,S,L,4.5,0,18,0,0,0
18,G,L,L,3.5,1.5,14,6,0.3,1
19,B,S,L,3.25,0.5,13,2,0.133333333,0
19,G,L,L,3.25,4,13,16,0.551724138,1
20,B,S,L,1.25,0,5,0,0,0
20,G,L,L,3.25,1.25,13,5,0.277777778,1
21,B,S,L,5.75,0,23,0,0,0
21,G,L,L,7,0,28,0,0,1
22,B,S,L,1.5,0.75,6,3,0.333333333,0
22,G,L,L,1.5,1.75,6,7,0.538461538,1
23,B,L,L,3,0,12,0,0,1
23,G,S,L,1.5,0.75,6,3,0.333333333,0
24,B,L,L,2.5,0.75,10,3,0.230769231,1
24,G,S,L,3.75,1,15,4,0.210526316,0
25,B,L,L,3,1.75,12,7,0.368421053,1
25,G,S,L,4,0.5,16,2,0.111111111,0
26,B,L,L,2,1,8,4,0.333333333,1
26,G,S,L,3.75,0,15,0,0,0
27,B,L,L,2,0.75,8,3,0.272727273,1
27,G,S,L,2.5,0.25,10,1,0.090909091,0
28,B,L,L,2.25,1.5,9,6,0.4,1
28,G,S,L,2.25,1,9,4,0.307692308,0
29,B,L,L,1.5,0,6,0,0,1
29,G,S,L,3.25,0,13,0,0,0
30,B,L,L,2.25,0.25,9,1,0.1,1
30,G,S,L,1.75,0.5,7,2,0.222222222,0
