propWT,Type
0,U
0.375,M
0,U
0.111111111,M
0,U
0.111111111,M
0.055555556,U
0.222222222,M
0,U
0,M
0.2,U
0.272727273,M
0,U
0,M
0,M
0.0625,U
0,M
0,U
0,M
0.176470588,U
0.111111111,M
0,U
0,M
0,U
0,M
0,U
0.153846154,M
0,U
0,M
0,M
0,U
0.153846154,M
0,U
0,M
0,U
0.3,M
0.133333333,U
0.551724138,M
0,U
0.277777778,M
0,U
0,M
0.333333333,U
0.538461538,M
0,M
0.333333333,U
0.230769231,M
0.210526316,U
0.368421053,M
0.111111111,U
0.333333333,M
0,U
0.272727273,M
0.090909091,U
0.4,M
0.307692308,U
0,M
0,U
0.1,M
0.222222222,U
